,OffSex,OffRace,INCIDENT_DATE_LESS_,OFF_INJURE_DESC,OFF_HOSPIT,CitRace,CitSex,SUBJ_INJURE_DESC,CIT_ARREST,CIT_INFL_A,CITChargeT,SERVICE_TY,UOF_REASON,ForceType1
69,Male,Hispanic,3,No injuries noted or visible,No,Hispanic,Male,No injuries noted or visible,Yes,Alchohol and unknown drugs,"Resisting Arrest, Public Intoxication, Warrant/Hold",Arrest,Arrest,Verbal Command
70,Male,Black,7,No injuries noted or visible,No,Black,Male,Abrasion/Scrape,Yes,Alchohol and unknown drugs,Assault,Arrest,Arrest,Take Down - Arm
71,Male,White,1,No injuries noted or visible,No,Black,Male,No injuries noted or visible,Yes,None detected,"Unauthorize Use Vehicle, Burglary/Habitation, Evading Arrest",Arrest,Danger to self or others,Verbal Command
72,Male,White,27,No injuries noted or visible,No,White,Male,No injuries noted or visible,No,No reason,No Arrest,Service Call,Weapon Display,Weapon display at Person
73,Male,White,11,No injuries noted or visible,No,Black,Male,No injuries noted or visible,Yes,Alchohol,Public Intoxication,Arrest,Arrest,Joint Locks
74,Female,White,2,No injuries noted or visible,No,White,Male,Treated by DFD,Yes,Alchohol and unknown drugs,"Assault, Evading Arrest",Arrest,Active Aggression,Verbal Command
75,Male,Hispanic,3,No injuries noted or visible,No,Black,Male,No injuries noted or visible,Yes,Mentally unstable,"Evading Arrest, Fail to ID",Arrest,Arrest,Weapon display at Person
76,Male,White,27,No injuries noted or visible,No,White,Male,"Puncture, Abrasion/Scrape",Yes,FD-Unknown if Armed,"Criminal Mischief, Evading Arrest, Warrant/Hold",Arrest,Active Aggression,Taser
77,Male,White,2,No injuries noted or visible,No,Black,Male,No injuries noted or visible,Yes,Mentally unstable,APOWW,Service Call,Weapon Display,Weapon display at Person
78,Male,Black,2,No injuries noted or visible,No,NULL,Female,No injuries noted or visible,Yes,Alchohol,APOWW,Arrest,Arrest,Hand/Arm/Elbow Strike
79,Male,Hispanic,4,No injuries noted or visible,No,Hispanic,Male,No injuries noted or visible,Yes,Alchohol,"DWI, Warrant/Hold",Arrest,Arrest,Verbal Command
80,Male,White,2,No injuries noted or visible,No,Black,Male,"Abrasion/Scrape, Bruise, Hospitalized, Taser Burn Marks",Yes,Unknown Drugs,APOWW,Arrest,Active Aggression,Verbal Command
81,Male,Hispanic,8,No injuries noted or visible,No,Black,Male,"Abrasion/Scrape, Injury Not Related to Force",Yes,None detected,"Evading Arrest, Other Felony Arrest, Drug Possession - Felony",Arrest,Arrest,Verbal Command
82,Male,Hispanic,3,No injuries noted or visible,No,Hispanic,Female,No injuries noted or visible,No,Mentally unstable,No Arrest,Service Call,Detention/Frisk,Verbal Command
83,Male,Hispanic,29,No injuries noted or visible,No,Black,Male,No injuries noted or visible,Yes,Alchohol and unknown drugs,"Fail to ID, Resisting Search and Transport, Warrant/Hold",Arrest,Active Aggression,Hand/Arm/Elbow Strike
84,Male,Hispanic,28,No injuries noted or visible,No,Black,Male,Non-Visible Injury/Pain,Yes,Alchohol,"Resisting Search and Transport, Other Misdemeanor Arrest",Arrest,Arrest,Pressure Points
85,Male,Hispanic,2,No injuries noted or visible,No,White,Male,No injuries noted or visible,No,Alchohol and unknown drugs,No Arrest,Service Call,Active Aggression,Taser Display at Person
86,Male,American Ind,27,No injuries noted or visible,No,Black,Male,No injuries noted or visible,No,FD-Unknown if Armed,No Arrest,Other ( In Narrative),Danger to self or others,Weapon display at Person
87,Male,White,13,No injuries noted or visible,No,Hispanic,Male,Injured prior to contact,Yes,FD-Unknown if Armed,Warrant/Hold,Crime in Progress,Detention/Frisk,Verbal Command
88,Male,White,6,No injuries noted or visible,No,Black,Female,Puncture,Yes,No reason,"Assault/Public Servant, Robbery, Resisting Arrest",Service Call,Arrest,Verbal Command
89,Male,White,3,No injuries noted or visible,No,Black,Female,Injury Not Related to Force,Yes,Mentally unstable,"Drug Possession - Misdemeanor, Resisting Search and Transport, Other Felony Arrest",Arrest,Arrest,Take Down - Arm
90,Female,White,13,Laceration/Cut,No,Black,Male,Abrasion/Scrape,Yes,Alchohol,"Public Intoxication, Assault/Public Servant",Arrest,Arrest,Held Suspect Down
91,Male,Hispanic,2,No injuries noted or visible,No,Black,Male,"Laceration/Cut, Injury Not Related to Force, Injured prior to contact, Treated by DFD, cut, injury not related to force, injured prior to contact, treated by DFD/ Baylor, Cut, Injury not related to force, Injured prior to contact, Treated by DFD/ Baylor",Yes,NULL,"Other Felony Arrest, Burglary/Habitation, Assault/FV",Arrest,Active Aggression,Weapon display at Person
92,Male,White,32,Bruise,No,White,Male,"Taser Burn Marks, Abrasion/Scrape, Hospitalized, Hospital Drug Evaluation",Yes,Alchohol and unknown drugs,"Public Intoxication, Evading Arrest, Resisting Search and Transport",Arrest,Active Aggression,Verbal Command
93,Female,Black,2,No injuries noted or visible,No,Black,Female,No injuries noted or visible,Yes,No reason,"Fail to ID, Resisting Arrest",Service Call,Arrest,Handcuffing Take Down
94,Male,White,3,No injuries noted or visible,No,Black,Male,No injuries noted or visible,Yes,Unknown Drugs,"Public Intoxication, Drug Possession - Misdemeanor",Arrest,Arrest,Pressure Points
95,Male,White,25,No injuries noted or visible,No,Black,Male,Taser Burn Marks,Yes,Marijuana,APOWW,Arrest,Danger to self or others,Taser
96,Male,Black,3,No injuries noted or visible,No,Black,Male,No injuries noted or visible,Yes,No reason,"Assault/FV, Evading Arrest, Warrant/Hold",Arrest,Arrest,BD - Grabbed
97,Male,White,6,No injuries noted or visible,No,Black,Male,No injuries noted or visible,Yes,None detected,"Evading Arrest, Warrant/Hold",Arrest,Arrest,Held Suspect Down
98,Male,White,16,No injuries noted or visible,No,Black,Female,No injuries noted or visible,Yes,Mentally unstable,APOWW,Other ( In Narrative),Danger to self or others,Joint Locks
99,Female,Hispanic,11,No injuries noted or visible,No,Black,Male,No injuries noted or visible,Yes,FD-Suspect w/ Other Weapon,APOWW,Service Call,Danger to self or others,Weapon display at Person
100,Male,White,10,No injuries noted or visible,No,Black,Female,No injuries noted or visible,Yes,No reason,Resisting Arrest,Arrest,Arrest,BD - Tripped
101,Male,White,1,No injuries noted or visible,No,Hispanic,Male,No injuries noted or visible,Yes,Unknown Drugs,"Public Intoxication, Resisting Arrest, Drug Possession - Misdemeanor",Arrest,Arrest,Verbal Command
102,Male,White,1,No injuries noted or visible,No,White,Male,"bloody lip, Redness/Swelling",Yes,No reason,"Burglary of a Vehicle, Evading Arrest, Warrant/Hold, Resisting Arrest",Service Call,Arrest,Take Down - Head
103,Male,White,17,Abrasion/Scrape,No,Black,Male,"Injured prior to contact, Non-Visible Injury/Pain",Yes,Mentally unstable,APOWW,Call for Cover,Danger to self or others,Take Down - Body
104,Male,White,7,No injuries noted or visible,No,Black,Male,Abrasion/Scrape,Yes,No reason,"Unauthorize Use Vehicle, Evading Arrest",Arrest,Arrest,BD - Pushed
105,Male,Black,7,No injuries noted or visible,No,Black,Male,No injuries noted or visible,Yes,No reason,"Assault/FV, Evading Arrest, Warrant/Hold",Arrest,Arrest,BD - Grabbed
106,Male,White,27,No injuries noted or visible,No,Hispanic,Male,No injuries noted or visible,Yes,FD-Unknown if Armed,"Resisting Search and Transport, Assault/FV",Service Call,Detention/Frisk,Verbal Command
107,Male,White,5,No injuries noted or visible,No,White,Male,No injuries noted or visible,No,None detected,No Arrest,Other ( In Narrative),Weapon Display,Weapon display at Person
108,Male,White,8,No injuries noted or visible,No,White,Female,No injuries noted or visible,No,Mentally unstable,No Arrest,Service Call,Danger to self or others,BD - Pushed
109,Male,White,6,No injuries noted or visible,No,Hispanic,Male,"Injured prior to contact, Injury Not Related to Force",Yes,Mentally unstable,APOWW,Arrest,Arrest,Hand Controlled Escort
110,Male,White,15,No injuries noted or visible,No,Black,Male,No injuries noted or visible,Yes,Alchohol and unknown drugs,Public Intoxication,Service Call,Arrest,Verbal Command
111,Male,Black,3,No injuries noted or visible,No,Hispanic,Female,No injuries noted or visible,Yes,Alchohol,Warrant/Hold,Arrest,Arrest,BD - Grabbed
112,Male,White,2,No injuries noted or visible,No,Black,Female,No injuries noted or visible,Yes,No reason,"Fail to ID, Resisting Arrest",Arrest,Arrest,Verbal Command
113,Male,Hispanic,9,Laceration/Cut,No,Hispanic,Male,Abrasion/Scrape,Yes,Mentally unstable,"Resisting Arrest, Other Misdemeanor Arrest, Warrant/Hold",Service Call,Arrest,BD - Grabbed
114,Male,Black,3,No injuries noted or visible,No,Black,Female,"Abrasion/Scrape, Non-Visible Injury/Pain",Yes,Alchohol,"Public Intoxication, Resisting Arrest",Arrest,Arrest,Verbal Command
115,Male,White,3,No injuries noted or visible,No,Black,Male,No injuries noted or visible,Yes,No reason,Evading Arrest,Arrest,Arrest,Verbal Command
116,Male,White,2,No injuries noted or visible,No,White,Male,Injury Not Related to Force,Yes,Alchohol,"Resisting Search and Transport, Assault/FV",Call for Cover,Arrest,Verbal Command
117,Male,White,21,No injuries noted or visible,No,Other,Male,No injuries noted or visible,Yes,FD-Suspect Unarmed,"Disorderly Conduct, Other Misdemeanor Arrest",Service Call,Assault to Other Person,Weapon display at Person
118,Male,White,1,No injuries noted or visible,No,Black,Male,No injuries noted or visible,Yes,None detected,"Unauthorize Use Vehicle, Fail to ID",Arrest,Arrest,Weapon display at Person
119,Male,White,15,No injuries noted or visible,No,White,Male,Abrasion/Scrape,No,No reason,No Arrest,Service Call,Detention/Frisk,Held Suspect Down
120,Male,White,4,No injuries noted or visible,No,Black,Male,"Elevated Blood Pressure, Hospital Drug Evaluation",Yes,Unknown Drugs,"Resisting Arrest, Public Intoxication",Service Call,Arrest,Verbal Command
121,Male,White,3,No injuries noted or visible,No,White,Male,No injuries noted or visible,No,FD-Suspect w/ Gun,No Arrest,Service Call,Weapon Display,Weapon display at Person
122,Male,White,9,No injuries noted or visible,No,Black,Male,No injuries noted or visible,Yes,None detected,"Crim Trespass/Bldg/Prop, Resisting Arrest, Warrant/Hold",Arrest,Detention/Frisk,Verbal Command
123,Male,White,10,No injuries noted or visible,No,Hispanic,Male,No injuries noted or visible,Yes,No reason,"Other Felony Arrest, Evading Arrest, Warrant/Hold",Other ( In Narrative),Arrest,Take Down - Group
124,Male,White,4,No injuries noted or visible,No,Black,Female,No injuries noted or visible,Yes,Mentally unstable,Assault/FV,Arrest,Arrest,Joint Locks
125,Male,Hispanic,9,No injuries noted or visible,No,White,Female,No injuries noted or visible,Yes,Alchohol and unknown drugs,APOWW,Service Call,Arrest,Verbal Command
126,Male,Hispanic,8,No injuries noted or visible,No,Hispanic,Female,No injuries noted or visible,No,No reason,No Arrest,Warrant Execution,Other,Verbal Command
127,Male,Black,16,No injuries noted or visible,No,Hispanic,Male,Non-Visible Injury/Pain,No,Alchohol and unknown drugs,No Arrest,Off-Duty Employment,Active Aggression,BD - Pushed
128,Male,White,3,No injuries noted or visible,No,Hispanic,Male,Injury Not Related to Force,Yes,Alchohol,"Evading Arrest, Public Intoxication",Arrest,Weapon Display,Verbal Command
129,Male,White,8,No injuries noted or visible,No,White,Male,No injuries noted or visible,Yes,Mentally unstable,APOWW,Call for Cover,Arrest,Take Down - Arm
130,Male,White,3,No injuries noted or visible,No,Black,Male,No injuries noted or visible,Yes,None detected,"Warrant/Hold, Evading Arrest",Other ( In Narrative),Other,Take Down - Body
131,Male,Black,2,No injuries noted or visible,No,Hispanic,Female,Non-Visible Injury/Pain,Yes,Alchohol,Assault/Public Servant,Arrest,Active Aggression,Handcuffing Take Down
132,Male,White,1,No injuries noted or visible,No,White,Female,No injuries noted or visible,Yes,FD-Suspect w/ Gun,Burglary/Habitation,Service Call,Arrest,Weapon display at Person
133,Male,White,6,No injuries noted or visible,No,Black,Male,No injuries noted or visible,Yes,Unknown Drugs,Public Intoxication,Service Call,Active Aggression,Weapon display at Person
134,Female,Black,6,No injuries noted or visible,No,Hispanic,Male,No injuries noted or visible,Yes,Marijuana,"Evading Arrest, Drug Possession - Misdemeanor",Traffic Stop,Detention/Frisk,Verbal Command
135,Male,White,4,No injuries noted or visible,No,Black,Female,No injuries noted or visible,Yes,NULL,"Warrant/Hold, Resisting Search and Transport",Arrest,Arrest,Feet/Leg/Knee Strike
136,Male,Hispanic,9,No injuries noted or visible,No,White,Female,No injuries noted or visible,Yes,FD-Suspect w/ Gun,Burglary/Habitation,Service Call,Arrest,Weapon display at Person
137,Male,White,6,No injuries noted or visible,No,Black,Male,No injuries noted or visible,Yes,Alchohol,"DWI, DWLS, Resisting Search and Transport",Arrest,Arrest,Hand Controlled Escort
138,Female,White,9,No injuries noted or visible,No,Black,Female,No injuries noted or visible,Yes,No reason,"Assault/FV, Drug Possession - Misdemeanor",Crime in Progress,Assault to Other Person,Verbal Command
139,Male,White,2,No injuries noted or visible,No,Hispanic,Male,"Injury Not Related to Force, Injured prior to contact",Yes,Mentally unstable,APOWW,Arrest,Arrest,Hand Controlled Escort
140,Male,Hispanic,14,No injuries noted or visible,No,NULL,Male,"Taser Burn Marks, Treated by DFD",Yes,No reason,"Evading Arrest, Resisting Arrest, Fail to ID, Warrant/Hold",Arrest,Arrest,Verbal Command
141,Male,Hispanic,1,No injuries noted or visible,No,White,Male,Injured prior to contact,Yes,Alchohol,Assault/FV,Service Call,Other,Verbal Command
142,Male,White,9,No injuries noted or visible,No,Hispanic,Female,"Injury Not Related to Force, Injured prior to contact",Yes,Alchohol,Public Intoxication,Off-Duty Employment,Assault to Other Person,Taser
143,Male,White,3,No injuries noted or visible,No,Black,Male,No injuries noted or visible,Yes,Unknown Drugs,"Drug Possession - Misdemeanor, Public Intoxication, Warrant/Hold",Arrest,Arrest,Verbal Command
144,Male,White,3,No injuries noted or visible,No,Black,Male,No injuries noted or visible,Yes,FD-Unknown if Armed,"Assault/Public Servant, Drug Possession - Misdemeanor",Service Call,Active Aggression,Take Down - Body
145,Male,Hispanic,9,No injuries noted or visible,No,White,Male,No injuries noted or visible,Yes,Mentally unstable,Burglary/Habitation,Service Call,Danger to self or others,Weapon display at Person
146,Male,Hispanic,10,No injuries noted or visible,No,White,Male,No injuries noted or visible,Yes,Alchohol,Public Intoxication,Arrest,Arrest,BD - Grabbed
147,Male,Black,1,No injuries noted or visible,No,Black,Male,No injuries noted or visible,Yes,No reason,Assault/FV,Arrest,Arrest,Taser Display at Person
148,Male,White,4,No injuries noted or visible,No,Black,Male,"Abrasion/Scrape, Redness/Swelling",Yes,Alchohol,Warrant/Hold,Arrest,Arrest,Verbal Command
149,Male,White,10,No injuries noted or visible,No,Hispanic,Male,No injuries noted or visible,Yes,Alchohol,"Assault/FV, Other Misdemeanor Arrest",Arrest,Arrest,Take Down - Arm
150,Male,White,1,No injuries noted or visible,No,White,Male,No injuries noted or visible,Yes,Alchohol,Public Intoxication,Arrest,Arrest,BD - Grabbed
151,Male,White,8,No injuries noted or visible,No,Black,Male,No injuries noted or visible,Yes,Unknown Drugs,"Evading Arrest, Man/Del/Dangerous Drug, Drug Possession - Misdemeanor",Suspicious Activity,Arrest,Verbal Command
152,Male,Black,1,No injuries noted or visible,No,NULL,Female,Fracture,Yes,Alchohol,Warrant/Hold,Other ( In Narrative),Other,Verbal Command
153,Male,White,9,No injuries noted or visible,No,Black,Male,Bruise,Yes,Alchohol,"Public Intoxication, Resisting Search and Transport, Criminal Mischief",Arrest,Arrest,Verbal Command
