,features,CIT_ARREST encoded
121,"[3.0,0.0,0.0,0.0,0.0,2.0,0.0,9.0,1.0,1.0,4.0,1.0,1.0]",1.0
122,"(13,[0,7,8,10,12],[9.0,4.0,412.0,3.0,1.0])",0.0
123,"(13,[0,5,7,8,9,11,12],[10.0,1.0,2.0,494.0,5.0,16.0,1.0])",0.0
124,"(13,[0,8,11,12],[4.0,4.0,5.0,2.0])",0.0
125,"(13,[0,2,5,7,9,12],[9.0,1.0,2.0,5.0,1.0,2.0])",0.0
126,"[8.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,9.0,5.0,0.0,2.0]",1.0
127,"[16.0,0.0,2.0,0.0,0.0,1.0,4.0,5.0,1.0,6.0,2.0,10.0,1.0]",1.0
128,"(13,[0,5,6,7,8,10,12],[3.0,1.0,7.0,1.0,210.0,4.0,1.0])",0.0
129,"(13,[0,5,9,11,12],[8.0,2.0,2.0,4.0,1.0])",0.0
130,"(13,[0,7,8,9,10,11,12],[3.0,4.0,29.0,5.0,5.0,9.0,1.0])",0.0
131,"[2.0,0.0,2.0,0.0,0.0,1.0,4.0,1.0,5.0,0.0,2.0,11.0,2.0]",0.0
132,"(13,[0,5,7,8,9,11,12],[1.0,2.0,9.0,11.0,1.0,1.0,2.0])",0.0
133,"(13,[0,7,8,9,10,11,12],[6.0,3.0,2.0,1.0,2.0,1.0,1.0])",0.0
134,"[6.0,1.0,2.0,0.0,0.0,1.0,0.0,8.0,33.0,3.0,3.0,0.0,1.0]",0.0
135,"(13,[0,7,8,11,12],[4.0,7.0,21.0,15.0,2.0])",0.0
136,"[9.0,0.0,1.0,0.0,0.0,2.0,0.0,9.0,11.0,1.0,0.0,1.0,2.0]",0.0
137,"(13,[0,7,8,11,12],[6.0,1.0,160.0,6.0,1.0])",0.0
138,"(13,[0,1,7,8,9,10,12],[9.0,1.0,2.0,55.0,4.0,6.0,2.0])",0.0
139,"(13,[0,5,6,11,12],[2.0,1.0,36.0,6.0,1.0])",0.0
140,"(13,[0,2,5,6,7,8,12],[14.0,1.0,3.0,11.0,2.0,127.0,1.0])",0.0
141,"[1.0,0.0,1.0,0.0,0.0,2.0,6.0,1.0,4.0,1.0,5.0,0.0,1.0]",0.0
142,"[9.0,0.0,0.0,0.0,0.0,1.0,36.0,1.0,2.0,6.0,6.0,7.0,2.0]",0.0
143,"(13,[0,7,8,12],[3.0,3.0,138.0,1.0])",0.0
144,"(13,[0,7,8,9,10,11,12],[3.0,6.0,166.0,1.0,2.0,9.0,1.0])",0.0
145,"[9.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,11.0,1.0,1.0,1.0,1.0]",0.0
146,"(13,[0,2,5,7,8,11,12],[10.0,1.0,2.0,1.0,2.0,3.0,1.0])",0.0
147,"(13,[0,2,7,8,11,12],[1.0,2.0,2.0,4.0,8.0,1.0])",0.0
148,"(13,[0,6,7,8,12],[4.0,17.0,1.0,3.0,1.0])",0.0
149,"(13,[0,5,7,8,11,12],[10.0,1.0,1.0,208.0,4.0,1.0])",0.0
150,"(13,[0,5,7,8,11,12],[1.0,2.0,1.0,2.0,3.0,1.0])",0.0
151,"(13,[0,7,8,9,12],[8.0,3.0,177.0,7.0,1.0])",0.0
152,"[1.0,0.0,2.0,0.0,0.0,3.0,150.0,1.0,3.0,5.0,5.0,0.0,2.0]",0.0
153,"(13,[0,6,7,8,12],[9.0,10.0,1.0,420.0,1.0])",0.0
154,"(13,[0,2,6,7,8,11,12],[3.0,1.0,9.0,2.0,119.0,2.0,1.0])",0.0
155,"[1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,4.0,1.0,1.0]",0.0
156,"(13,[0,1,5,7,8,9,12],[1.0,1.0,2.0,3.0,504.0,1.0,2.0])",0.0
157,"(13,[0,2,5,7,8,12],[3.0,1.0,1.0,5.0,2.0,1.0])",0.0
158,"(13,[0,7,8,11,12],[1.0,3.0,448.0,4.0,2.0])",0.0
159,"(13,[0,7,8,9,11,12],[1.0,1.0,34.0,1.0,11.0,1.0])",0.0
160,"[4.0,0.0,2.0,0.0,0.0,0.0,11.0,3.0,94.0,1.0,1.0,3.0,1.0]",0.0
161,"[1.0,0.0,0.0,1.0,0.0,2.0,108.0,2.0,480.0,2.0,0.0,3.0,1.0]",0.0
162,"[3.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0]",1.0
163,"(13,[0,7,8,10,12],[3.0,5.0,2.0,1.0,1.0])",0.0
164,"(13,[0,7,8,12],[3.0,3.0,147.0,1.0])",0.0
165,"(13,[0,5,6,7,8,12],[12.0,2.0,27.0,3.0,15.0,1.0])",0.0
166,"(13,[0,11,12],[3.0,1.0,2.0])",0.0
167,"(13,[0,3,6,7,8,12],[7.0,2.0,30.0,5.0,500.0,1.0])",0.0
168,"[3.0,0.0,3.0,3.0,0.0,0.0,1.0,4.0,29.0,0.0,0.0,2.0,1.0]",0.0
169,"[2.0,0.0,0.0,0.0,0.0,2.0,97.0,1.0,260.0,0.0,2.0,3.0,1.0]",0.0
170,"[11.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,2.0,6.0,1.0]",0.0
171,"(13,[0,7,8,11,12],[16.0,1.0,160.0,6.0,1.0])",0.0
172,"(13,[0,5,6,7,8,12],[2.0,2.0,123.0,3.0,414.0,1.0])",0.0
173,"(13,[0,2,7,8,11,12],[6.0,1.0,8.0,8.0,1.0,1.0])",0.0
174,"(13,[0,7,8,11,12],[1.0,2.0,357.0,3.0,1.0])",0.0
175,"(13,[0,5,10,11,12],[2.0,1.0,1.0,2.0,2.0])",0.0
176,"(13,[0,2,3,8,10,11,12],[19.0,1.0,5.0,49.0,2.0,6.0,1.0])",0.0
177,"(13,[0,3,7,8,11,12],[2.0,3.0,2.0,320.0,9.0,1.0])",0.0
178,"(13,[0,2,5,7,8,11,12],[3.0,1.0,1.0,1.0,4.0,1.0,1.0])",0.0
179,"(13,[0,5,7,8,11,12],[4.0,2.0,1.0,4.0,12.0,1.0])",0.0
180,"[1.0,0.0,0.0,0.0,0.0,1.0,62.0,6.0,8.0,7.0,3.0,6.0,1.0]",0.0
181,"(13,[0,5,7,8,9,10,12],[1.0,1.0,7.0,1.0,1.0,3.0,2.0])",1.0
182,"[34.0,0.0,1.0,0.0,0.0,2.0,0.0,5.0,0.0,2.0,2.0,2.0,1.0]",0.0
183,"(13,[0,8,11,12],[4.0,10.0,5.0,1.0])",0.0
184,"(13,[0,7,8,9,11,12],[3.0,4.0,82.0,2.0,12.0,1.0])",0.0
185,"[10.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,157.0,4.0,3.0,5.0,1.0]",0.0
186,"[7.0,1.0,2.0,3.0,0.0,0.0,4.0,4.0,516.0,3.0,0.0,0.0,1.0]",0.0
187,"[7.0,0.0,1.0,0.0,0.0,2.0,1.0,4.0,117.0,7.0,2.0,9.0,1.0]",0.0
188,"(13,[0,2,7,8,9,12],[1.0,1.0,4.0,123.0,3.0,2.0])",0.0
189,"(13,[0,5,7,8,9,10,12],[10.0,2.0,3.0,339.0,8.0,1.0,1.0])",0.0
190,"(13,[0,7,8,12],[4.0,2.0,15.0,2.0])",0.0
191,"(13,[0,5,7,8,11,12],[3.0,2.0,5.0,1.0,3.0,1.0])",0.0
192,"[3.0,0.0,1.0,1.0,0.0,1.0,1.0,4.0,3.0,1.0,3.0,0.0,1.0]",0.0
193,"(13,[0,7,9,10,11,12],[2.0,3.0,3.0,1.0,1.0,1.0])",0.0
194,"(13,[0,7,8,9,10,12],[4.0,4.0,4.0,1.0,5.0,2.0])",0.0
195,"(13,[0,6,7,8,11,12],[8.0,1.0,1.0,279.0,9.0,1.0])",0.0
196,"(13,[0,5,6,8,11,12],[7.0,2.0,1.0,40.0,3.0,1.0])",0.0
197,"(13,[0,7,8,9,10,11,12],[27.0,2.0,1.0,8.0,4.0,1.0,1.0])",1.0
198,"(13,[0,5,7,8,11,12],[8.0,1.0,8.0,22.0,1.0,1.0])",0.0
199,"[14.0,0.0,1.0,0.0,0.0,2.0,0.0,4.0,1.0,7.0,4.0,0.0,1.0]",1.0
200,"(13,[0,7,8,9,10,11,12],[27.0,2.0,2.0,1.0,11.0,13.0,1.0])",1.0
201,"[2.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,93.0,4.0,4.0,1.0,1.0]",0.0
202,"(13,[0,6,7,8,10,11,12],[10.0,3.0,3.0,534.0,2.0,7.0,2.0])",0.0
203,"(13,[0,6,8,11,12],[26.0,1.0,3.0,11.0,1.0])",0.0
204,"(13,[0,5,6,7,8,10,12],[4.0,2.0,7.0,1.0,58.0,2.0,1.0])",0.0
205,"[17.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,53.0,0.0,3.0,6.0,1.0]",0.0
206,"(13,[0,7,8,10,11,12],[31.0,4.0,16.0,4.0,1.0,1.0])",0.0
207,"(13,[0,5,6,7,8,11,12],[11.0,2.0,1.0,1.0,9.0,3.0,1.0])",0.0
208,"(13,[0,8,10,12],[3.0,2.0,1.0,2.0])",0.0
209,"(13,[0,7,8,12],[4.0,4.0,33.0,1.0])",0.0
210,"(13,[0,2,12],[11.0,2.0,2.0])",0.0
211,"(13,[0,6,7,8,12],[12.0,2.0,3.0,18.0,1.0])",0.0
212,"[8.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,116.0,7.0,0.0,10.0,1.0]",0.0
213,"[6.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0]",1.0
214,"(13,[0,7,8,9,10,11,12],[2.0,4.0,3.0,2.0,2.0,15.0,1.0])",0.0
215,"(13,[0,6,7,8,10,12],[3.0,1.0,6.0,497.0,6.0,1.0])",0.0
216,"[3.0,1.0,0.0,0.0,0.0,1.0,4.0,5.0,19.0,2.0,3.0,8.0,1.0]",0.0
217,"[14.0,0.0,2.0,66.0,0.0,0.0,0.0,7.0,5.0,0.0,2.0,13.0,2.0]",0.0
218,"(13,[0,3,6,7,8,11,12],[1.0,1.0,1.0,2.0,3.0,10.0,1.0])",0.0
219,"(13,[0,5,6,8,11,12],[4.0,2.0,1.0,40.0,8.0,1.0])",0.0
220,"(13,[0,7,8,9,10,11,12],[3.0,7.0,1.0,11.0,7.0,1.0,1.0])",1.0
221,"[3.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,16.0,2.0]",0.0
222,"(13,[0,2,5,6,7,8,12],[8.0,1.0,1.0,1.0,2.0,111.0,1.0])",0.0
223,"[28.0,0.0,0.0,1.0,0.0,2.0,1.0,11.0,9.0,1.0,0.0,9.0,1.0]",0.0
224,"(13,[0,2,6,7,8,10,12],[1.0,2.0,8.0,4.0,14.0,2.0,2.0])",0.0
225,"(13,[0,1,6,7,8,9,12],[1.0,1.0,5.0,3.0,460.0,1.0,1.0])",0.0
226,"(13,[0,7,8,9,11,12],[25.0,2.0,4.0,1.0,3.0,1.0])",0.0
227,"(13,[0,9,10,11,12],[8.0,2.0,2.0,10.0,1.0])",0.0
228,"[6.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,4.0,1.0,2.0,1.0,1.0]",0.0
229,"[7.0,0.0,0.0,0.0,0.0,2.0,7.0,1.0,58.0,0.0,2.0,2.0,1.0]",0.0
230,"(13,[0,1,5,9,11,12],[2.0,1.0,2.0,1.0,4.0,1.0])",0.0
231,"[1.0,1.0,4.0,0.0,0.0,0.0,0.0,4.0,11.0,0.0,5.0,1.0,1.0]",0.0
232,"(13,[0,5,7,8,11,12],[31.0,1.0,3.0,18.0,3.0,2.0])",0.0
233,"(13,[0,7,8,11,12],[7.0,3.0,118.0,4.0,1.0])",0.0
234,"(13,[0,7,8,12],[1.0,1.0,34.0,1.0])",0.0
235,"(13,[0,5,7,8,9,10,12],[2.0,4.0,6.0,1.0,1.0,5.0,1.0])",1.0
236,"[11.0,0.0,2.0,0.0,0.0,0.0,46.0,10.0,176.0,0.0,5.0,4.0,1.0]",0.0
237,"(13,[0,2,9,10,11,12],[3.0,1.0,1.0,4.0,1.0,2.0])",0.0
238,"(13,[0,2,7,8,9,10,12],[4.0,2.0,2.0,1.0,1.0,4.0,1.0])",1.0
239,"[1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,310.0,0.0,5.0,2.0,2.0]",1.0
240,"(13,[0,5,6,7,8,9,12],[7.0,2.0,7.0,1.0,51.0,2.0,1.0])",0.0
241,"(13,[0,10,11,12],[9.0,1.0,3.0,1.0])",0.0
242,"[2.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,121.0,1.0,3.0,2.0,1.0]",0.0
243,"(13,[0,7,8,11,12],[6.0,4.0,13.0,4.0,1.0])",0.0
244,"(13,[0,5,8,9,10,12],[3.0,1.0,1.0,1.0,3.0,2.0])",1.0
245,"(13,[0,7,8,11,12],[1.0,2.0,211.0,3.0,1.0])",0.0
246,"(13,[0,1,5,7,8,11,12],[3.0,1.0,1.0,1.0,379.0,3.0,1.0])",0.0
247,"(13,[0,2,7,9,10,11,12],[2.0,2.0,5.0,1.0,1.0,13.0,2.0])",0.0
248,"(13,[0,7,8,9,11,12],[7.0,2.0,25.0,3.0,1.0,1.0])",0.0
249,"[1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,1.0,5.0,5.0,1.0]",1.0
250,"[10.0,0.0,2.0,0.0,0.0,1.0,0.0,5.0,2.0,0.0,1.0,1.0,1.0]",0.0
251,"[7.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,485.0,2.0,5.0,12.0,1.0]",0.0
252,"(13,[0,5,7,8,12],[6.0,1.0,7.0,88.0,1.0])",0.0
253,"(13,[0,7,8,9,12],[19.0,5.0,2.0,1.0,1.0])",0.0
254,"(13,[0,7,8,9,10,12],[16.0,3.0,157.0,1.0,3.0,1.0])",0.0
255,"(13,[0,2,7,8,9,10,12],[11.0,1.0,4.0,57.0,4.0,5.0,1.0])",0.0
256,"(13,[0,2,10,11,12],[1.0,1.0,1.0,7.0,1.0])",0.0
257,"(13,[0,6,7,8,9,11,12],[7.0,4.0,3.0,10.0,2.0,12.0,1.0])",0.0
258,"[9.0,0.0,1.0,0.0,0.0,2.0,0.0,9.0,11.0,1.0,0.0,1.0,1.0]",0.0
259,"(13,[0,3,6,7,8,10,12],[26.0,4.0,12.0,3.0,328.0,2.0,1.0])",0.0
260,"[6.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0,275.0,2.0,0.0,11.0,2.0]",0.0
261,"(13,[0,5,7,8,10,12],[2.0,1.0,1.0,17.0,2.0,2.0])",0.0
262,"(13,[0,7,8,9,10,12],[3.0,4.0,1.0,6.0,3.0,1.0])",1.0
263,"(13,[0,7,8,11,12],[3.0,1.0,2.0,3.0,1.0])",0.0
264,"(13,[0,2,7,8,9,12],[3.0,1.0,4.0,77.0,1.0,1.0])",0.0
265,"(13,[0,5,6,7,8,11,12],[26.0,1.0,3.0,6.0,74.0,19.0,1.0])",0.0
266,"(13,[0,5,10,11,12],[26.0,2.0,1.0,2.0,1.0])",0.0
267,"(13,[0,7,8,9,10,11,12],[10.0,4.0,295.0,8.0,4.0,1.0,1.0])",0.0
268,"(13,[0,6,7,10,12],[2.0,93.0,3.0,2.0,1.0])",0.0
269,"(13,[0,2,7,9,10,11,12],[3.0,1.0,5.0,2.0,4.0,1.0,1.0])",0.0
